SiteCode,Class,Region_detail,Region,Note
ALSE8667_B,I,SE,East,
ALSE8673_B,P,SE,East,
ALSE8674_B,P,SE,East,
ALSE8675_B,P,SE,East,
ALSE8676_B,P,SE,East,
ALSE8939_B,I,SE,East,
ALSE8940_B,E,SE,East,
ALSE8941_B,U,SE,East,
ALSE9185_B,P,SE,East,
ALSE9186_B,I,SE,East,
ALSE9443_BO,I,SE,East,
ALSE9533_B,I,SE,East,
ALSE9534_B,P,SE,East,
ALSE9592_V,I,SE,East,
ALSE9594_V,I,SE,East,
ALSE9595_V,I,SE,East,
ALSE9596_V,P,SE,East,
ARNE117_V,I,NE,East,
ARNE125_V,P,NE,East,
ARNE163_B,I,NE,East,
ARNE171_B,I,NE,East,
ARNE230_V,I,NE,East,
ARNE8840_V,P,NE,East,
ARNE8845_V,I,NE,East,
ARNE8884_B,I,NE,East,
ARNE8937_B,U,NE,East,
ARSE5406_B,I,SE,East,
ARSE8019_B,I,SE,East,
ARSE8022_B,U,SE,East,
ARSE9438_B,U,SE,East,
ARSE9485_B,E,SE,East,
ARSE9486_B,E,SE,East,
AZAW0006,I,AW,West,
AZAW0007,E,AW,West,
AZAW0008,I,AW,West,
AZAW0014,P,AW,West,Q&D Interpretation of logger data
AZAW0022,I,AW,West,
AZAW0032,P,AW,West,
AZAW0033,E,AW,West,
AZAW0035,P,AW,West,
AZAW0036,P,AW,West,Q&D Interpretation of logger data
AZAW0041,E,AW,West,
AZAW0042,E,AW,West,
AZAW0044,I,AW,West,
AZAW0046,P,AW,West,
AZAW0050,I,AW,West,
AZAW0051,E,AW,West,
AZAW0053,E,AW,West,
AZAW0055,I,AW,West,
AZAW0060,I,AW,West,Q&D Interpretation of logger data
AZAW0065,E,AW,West,
AZAW0066,E,AW,West,
AZAW0070,E,AW,West,Q&D review of logger data
AZAW0072,E,AW,West,Q&D review of logger data
AZAW0074,I,AW,West,Q&D review of logger data
AZAW0076,I,AW,West,Q&D review of logger data
AZAW0081,P,AW,West,
AZAW0082,E,AW,West,
AZAW0084,I,AW,West,
AZAW0085,E,AW,West,
AZAW0086,E,AW,West,
AZAW0090,I,AW,West,
AZAW0099,E,AW,West,
AZAW0103,P,AW,West,
AZAW0105,P,AW,West,
AZAW9029,E,AW,West,Q&D Interpretation of logger data
AZAW9030,E,AW,West,Q&D Interpretation of logger data. 2 days of  flow in late summer of 2022
AZAW9031,E,AW,West,Q&D Interpretation of logger data
AZAW9032,I,AW,West,Q&D Interpretation of logger data
AZWM0113,I,WM,West,
AZWM0114,I,WM,West,
AZWM0115,I,WM,West,
AZWM0116,I,WM,West,
AZWM0118,I,WM,West,
AZWM0119,P,WM,West,
AZWM0120,P,WM,West,
AZWM0121,I,WM,West,
AZWM0122,P,WM,West,
AZWM0123,I,WM,West,
AZWM0124,P,WM,West,
AZWM1588,E,WM,West,
AZWM1589,E,WM,West,"Q&D review of logger data, plus review by PDT"
AZWM1590,E,WM,West,
AZWM1591,E,WM,West,
AZWM1834,I,WM,West,Q&D Interpretation of logger data and field observations of drying
AZWM1842,E,WM,West,
AZWM1843,E,WM,West,
AZWM1847,E,WM,West,Q&D Interpretation of logger data
AZWM1848,E,WM,West,
AZWM1850,I,WM,West,Q&D Interpretation of logger data and field observations of drying
AZWM1853,P,WM,West,
AZWM1854,I,WM,West,
AZWM1855,I,WM,West,
AZWM1866,E,WM,West,Q&D review of logger data. Longest wet is 35 days (borderline I)
AZWM1867,E,WM,West,
CAAW0242,P,AW,West,
CAAW0243,E,AW,West,"Long term gage suggests ephemeral, even though study period was much wetter"
CAAW0244,I,AW,West,
CAAW0247,P,AW,West,
CAAW0249,P,AW,West,
CAAW0260,P,AW,West,Q&D review of gage data
CAAW0265,I,AW,West,Q&D review of gage data; logger data unavailable
CAAW0266,E,AW,West,Q&D Review of logger data
CAAW0270,P,AW,West,Q&D review of gage data
CAAW0281,P,AW,West,
CAAW0332,I,AW,West,
CAAW0354,I,AW,West,
CAAW0361,E,AW,West,Q&D review of logger data
CAAW0377,P,AW,West,
CAAW0381,E,AW,West,
CAAW0387,E,AW,West,
CAAW0392,I,AW,West,
CAAW0394,E,AW,West,
CAAW0396,I,AW,West,
CAAW0405,I,AW,West,Q&D review of older logger data; contemporary data insufficient (looks P)
CAAW0410,I,AW,West,
CAAW0412,P,AW,West,
CAAW0414,I,AW,West,
CAAW0419,I,AW,West,
CAAW0426,I,AW,West,
CAAW0430,P,AW,West,Q&D review of older logger data; contemporary data insufficient
CAAW0432,I,AW,West,"Cole Creek, not Cougar."
CAAW0434,P,AW,West,"Gage is intermittent, but we know there are standing permanent pools here"
CAAW0436,P,AW,West,Q&D review of gage data
CAAW0438,U,AW,West,"Alt Cole Creek site, no logger data?"
CAAW0440,I,AW,West,Q&D review of gage data
CAAW0441,I,AW,West,Q&D Review of logger data
CAAW0449,I,AW,West,Short record but sufficient for determining intermittency
CAAW0454,E,AW,West,Manual inspection shows 34 continuous days of flow
CAAW0473,E,AW,West,Q&D review of logger data
CAAW9243,I,AW,West,Short record but sufficient for determining intermittency
