"sitecode","Class","Region_detail","Region","Note","lat","long"
"ALSE8667_B","I","SE","East","",33.863378,-85.554491
"ALSE8673_B","P","SE","East","",32.978692,-87.352142
"ALSE8674_B","P","SE","East","",32.975835,-87.337656
"ALSE8675_B","P","SE","East","",31.133242,-86.533692
"ALSE8676_B","P","SE","East","",31.136637,-86.539989
"ALSE8939_B","I","SE","East","",32.424037,-85.658641
"ALSE8940_B","E","SE","East","",32.422897,-85.651429
"ALSE8941_B","U","SE","East","",32.420643,-85.651346
"ALSE9185_B","P","SE","East","",32.848227,-87.665288
"ALSE9186_B","I","SE","East","",32.849788,-87.665509
"ALSE9443_BO","I","SE","East","",32.980153,-87.348132
"ALSE9533_B","I","SE","East","",32.955535,-87.982587
"ALSE9534_B","P","SE","East","",32.984413,-88.008207
"ALSE9592_V","I","SE","East","",33.313747,-86.485431
"ALSE9594_V","I","SE","East","",33.302177,-86.477919
"ALSE9595_V","I","SE","East","",33.31355,-86.482884
"ALSE9596_V","P","SE","East","",33.312175,-86.480429
"ARNE117_V","I","NE","East","",36.09019526,-94.1911621
"ARNE125_V","P","NE","East","",36.04425474,-94.13390281
"ARNE163_B","I","NE","East","",35.52911484,-92.9425981
"ARNE171_B","I","NE","East","",35.57172973,-92.66318504
"ARNE230_V","I","NE","East","",35.85014207,-90.72378663
"ARNE8840_V","P","NE","East","",35.75100222,-93.76650677
"ARNE8845_V","I","NE","East","",35.75182232,-93.77450269
"ARNE8884_B","I","NE","East","",35.52160276,-92.66725986
"ARNE8937_B","U","NE","East","",35.53749275,-92.92007405
"ARSE5406_B","I","SE","East","",34.7972568,-93.00544856
"ARSE8019_B","I","SE","East","",34.8019297,-93.00588944
"ARSE8022_B","U","SE","East","",34.80579247,-92.99164729
"ARSE9438_B","U","SE","East","",34.87455255,-92.96590346
"ARSE9485_B","E","SE","East","",34.79382907,-93.02713404
"ARSE9486_B","E","SE","East","",34.79415589,-93.0274354
"AZAW0006","I","AW","West","",35.38319171,-113.65883759
"AZAW0007","E","AW","West","",35.16058005,-113.63644968
"AZAW0008","I","AW","West","",35.05034808,-112.05312803
"AZAW0014","P","AW","West","Q&D Interpretation of logger data",34.8602499,-111.76275713
"AZAW0022","I","AW","West","",34.63745261,-110.71324831
"AZAW0032","P","AW","West","",34.43316,-112.41875
"AZAW0033","E","AW","West","",34.4215473,-113.24367567
"AZAW0035","P","AW","West","",34.31410878,-112.0610994
